method_name,old_code,new_code,is_vulnerable
n
i
e
n
c
e
 
m
e
t
h
o
d
s
 
a
n
d
 
w
r
a
p
p
e
d


 
 
#
 ",1
apply_basic_settings,"_
_
c
o
p
y
r
i
g
h
t
_
_
 ","_
_
c
o
p
y
r
i
g
h
t
_
_
 
=",1
configure,"

 
*


 
*
 
P
e
r
m","

 
*


 
*
 
P
e
r
m
i
s
s",1
uWS::Hub::inflate,"d
e
 
""
H
u
b
.
h
""


#
i
n
c
l
u
d
e
 
""
H
T
T
P
S
o
c
k
e
t
.
h
"""," 
""
H
u
b
.
h
""


#
i
n
c
l
u
d
e
 
""
H
T
T
P
S
o
c
k
e
t
.
h
""


#
i",1
uWS::WebSocketProtocol<isServer>::handleFragment,"u
W
S
 
{




t
e
m
p
l
a
t
e
 
<
c
o
n
s
t
 
b
o
o
l
 
i
s
S
e
r
v
e
r
>


b
o
o
l
 
W
e
b
S
o
c
k
e
t
P
r
o
t
o
c
o
l
<
i
s
S
e
r
v
e
r
>
:
:
s
e","u
W
S
 
{




t
e
m
p
l
a
t
e
 
<
c
o
n
s
t
 
b
o
o
l
 
i
s
S
e
r
v
e
r
>


b
o
o
l
 
W
e
b
S
o
c
k
e
t
P
r
o
t
o
c
o
l
<
i
s
S
e
r
v
e
r
>
:
:
s
e
t
C
o
m
p
r
e
s",1
SqlString.escape,"r
i
n
g
 
=
 
e
x
p
o
r
t
s
;




S
q
l
S
t
r
i
n
g
.
e
s
c
a
p
e
I
d
 
=
 
f
u
n
c
t
i
o
n
 
(","r
i
n
g
 
=
 
e
x
p
o
r
t
s
;




S
q
l
S
t
r
i
n
g
.
e
s
c
a
p
e
I
d
 
=
 
f
u
n
c
t
i
o
n
 
(
v",1
downloadCLIDriver,"a
r
 
i
n
s
t
a
l
l
e
r
U
R
L
 
=
 
'
h
t
t
p
:
/
/
p
u
b
l
i
c","

v
a
r
 
i
n
s
t
a
l
l
e
r
U
R
L
 
=
 
'
h
t
t
p
s
:
/
/
p
u
b
l
i
c
.",1
(anonymous),"a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'
u","v
a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'",1
(anonymous),"a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'
u","v
a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'",1
buildBinary,"a
/
d
b
2
/
d
r
i
v
e
r
s
/
o
d
b
c
_
c
l
i
/
'
;


v
a
r
 
C
U
R
R
E","/
d
b
2
/
d
r
i
v
e
r
s
/
o
d
b
c
_
c
l
i
'
;


v
a
r
 
C
U
R
R
E
N
T",1
copyAndExtractDriver,"d
h
e
.
i
b
m
.
c
o
m
/
i
b
m
d
l
/
e
x
p
o
r
t
/
p
u
b
/
s
o
f
t
w
a
r
e
/
d
a","h
e
.
i
b
m
.
c
o
m
/
i
b
m
d
l
/
e
x
p
o
r
t
/
p
u
b
/
s
o
f
t
w
a
r
e
/
d
a
t",1
(anonymous),"a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'
u","v
a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'",1
(anonymous),"a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'
u","v
a
r
 
u
r
l
 
=
 
r
e
q
u
i
r
e
(
'",1
SafeResourceReader::setup,"o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;

","o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;


i
m
p",1
SafeResourceReader::setup,"o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;

","j
e
c
t
 
t
o
 
t
h
e
 
l
i
c
e
n
s
e
 
a
n
d
 
c
o
p
y
r
i
g
h
t


 
*",1
SafeResourceReader::setup,"o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;

","j
e
c
t
 
t
o
 
t
h
e
 
l
i
c
e
n
s
e
 
a
n
d
 
c
o
p
y
r
i
g
h
t


 
*",1
SafeResourceReader::setup,"o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;

","o
n
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
I
O
E
x
c
e
p
t
i
o
n
;


i
m
p",1
is_internal_attribute,"l
t
 
b
e
h
a
v
i
o
r
 
i
n
 
t
h
e
 
o
l
d


 
 
 
 
J","x
 
i
s
 
s
l
i
g
h
t
l
y
 
d
i
f
f
e
r
e
n
t
 
f
r
o
m
 
J
i
n
j
a",1
__init__,"

 
 
 
 ","a
u
l
t",1
call,"1
0
 
b
y
 
t","r
o
m
 
c
o
l
l
e
c
t",1
__init__,"

 
 
 
 ","a
u
l
t",1
__init__,"

 
 
 
 ","a
u
l
t",1
AbstractHazelcastBeanDefinitionParser::SpringXmlBuilderHelper::handleSerialization,"0


 
*


 
*
 
U
n
l
e
s
s
 
r","*


 
*
 
U
n
l
e
s
s
 
r
e
q
u
i
r",1
AbstractXmlConfigHelper::parseSerialization,"d
 
o
n
 
a
n
 
""
A
S
 
I
S
""
 
B
A
S
I
S
,


 
*
 
W
I
T
H
O
U
T
 
W
A
R","d
 
o
n
 
a
n
 
""
A
S
 
I
S
""
 
B
A
S
I
S
,


 
*
 
W
I
T
H
O
U
T
 
W
A
R
R
A",1
ConfigXmlGenerator::serializationXmlGenerator," 
i
n
 
w
r
i
t
i
n
g
,
 
s
o
f
t
w
a
r
e


 
*
 
d
i
s
t
r
i
b
u
t
e
d
 
u
n
d
e
r
 
t
h
e
 
L
i
c
e
n
s
e
 "," 
i
n
 
w
r
i
t
i
n
g
,
 
s
o
f
t
w
a
r
e


 
*
 
d
i
s
t
r
i
b
u
t
e
d
 
u
n
d
e
r
 
t
h
e
 
L
i
c
e
n
s
e
 
i
s
 
d
i
s
t",1
SerializationConfig::toString,"I
T
H
O
U
T
 
W
A
R
R
A
N
T
I","R
 
C
O
N
D
I
T
I
O
N
S
 
O
F
 ",1
AbstractSerializationService::AbstractSerializationService,"h
e
 
A
p
a
c
h
e
 
L
i
c
e
n","h
e
 
A
p
a
c
h
e
 
L",1
AbstractSerializationService::AbstractSerializationService,"h
e
 
A
p
a
c
h
e
 
L
i
c
e
n","h
e
 
A
p
a
c
h
e
 
L",1
DefaultSerializationServiceBuilder::setConfig," 
2
.
0
 
(
t
h
e
 
""
L
i","(
t
h
e
 
""
L
i
c
e
n
s
e
""
)",1
DefaultSerializationServiceBuilder::createSerializationService,"h
e
.
o
r
g
/
l
i
c
e
n
s
e
s
/","l
i
c
e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*


 
*
 
U",1
JavaDefaultSerializers::JavaSerializer::read,"

 
*


 
*","

 
*
 
L
i",1
JavaDefaultSerializers::ExternalizableSerializer::read,"u
 
m
a
y
 
n
o
t
 
u
s"," 
n
o
t
 
u
s
e
 
t
h
i",1
JavaDefaultSerializers::JavaSerializer::JavaSerializer,"s
 
R
e","R
e
s
e
r",1
JavaDefaultSerializers::ExternalizableSerializer::ExternalizableSerializer,"e
""
)","

 
*
 ",1
JavaDefaultSerializers::ExternalizableSerializer::ExternalizableSerializer,"e
""
)","

 
*
 ",1
JavaDefaultSerializers::JavaSerializer::JavaSerializer,"s
 
R
e","R
e
s
e
r",1
SerializationServiceV1::SerializationServiceV1," 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s","e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s",1
SerializationServiceV1::SerializationServiceV1," 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s","e
r
 
t
h
e
 
A
p
a
c
h
e
 
L
i
c
e
n
s",1
IOUtil::newObjectInputStream,"i
l
e","i
l
e
 ",1
IOUtil::ClassLoaderAwareObjectInputStream::resolveClass,"o
m
.","a
z
e
l
c
a
s",1
IOUtil::ClassLoaderAwareObjectInputStream::ClassLoaderAwareObjectInputStream,"k
a
g
e","g
e
 
c
o
m",1
IOUtil::newObjectInputStream,"i
l
e","i
l
e
 ",1
IOUtil::ClassLoaderAwareObjectInputStream::ClassLoaderAwareObjectInputStream,"k
a
g
e","g
e
 
c
o
m",1
ConfigCompatibilityChecker::SerializationConfigChecker::check,"c
a
s
t
.
u
t
i
l
.
C
o
l
l","c
a
s
t
.
u
t
i
l
.
C
o
l
l
e",1
ActionServlet::init," 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l
i
c
a
b
l
e
 
l
a
w
 
o
r
 
a
g
r
e
e
d
 
t
o
 
i
n
 
w
r
i
t
i
n
g","r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l
i
c
a
b
l
e
 
l
a
w
 
o
r
 
a
g
r
e
e
d
 
t
o
 
i
n
 
w
r
i
t
i
n
g
,",1
ActionServlet::parseModuleConfigFile,"n
p
u
t
S
t
r
e
a
m
;


i
m
p
o
r
t
 
j
a
v
a
.
m
a
t
h
.
B
i
g
D
e
c
i
m
a
l
;","p
u
t
S
t
r
e
a
m
;


i
m
p
o
r
t
 
j
a
v
a
.
m
a
t
h
.
B
i
g
D
e
c
i
m
a
l
;

",1
ActionServlet::initOther,"a
x
.
s
e
r
v
l
e
t
.
U
n
a
v
a
i
l
a
b
l
e
E
x
c
e
p
t
i
o
n
;


i
m
p
o
r","R
e
q
u
e
s
t
;


i
m
p
o
r
t
 
j
a
v
a
x
.
s
e
r
v
l
e
t
.
h
t
t
p
.
H
t
t
p
S
e
r
v",1
Event::getArg,"t
a
c",-,1
Event::getType,"t
r
a",r,1
Message::getHeader,"r
e
n
c
e
,","p
o
i
n
t
 ",1
View::getCreator,"m
p
o",m,1
KeyStoreGenerator::main,"u
p
s
.
u
t
i
l
.
U
t
i
l
;




i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
F
i
l
e
O
u
t
p
u
t
S
t
r
e
a
m
;


i
m
p
o
r
t
 
j
a
v
a
.
i
o
.
O
u
t
p
u
t
S
t
r
e
a
m
;


i
m",".
c
r
y
p
t
o
.
K
e
y
G
e
n
e
r
a
t
o
r
;


i
m
p
o
r
t
 
j
a
v
a
x
.
c
r
y
p
t
o
.
S
e",1
KeyStoreGenerator::getAlgorithm,"a
.
s
e
c
u
r","a
v
a
.
i
o",1
AUTH::down,"

i
m
p
o
r
t
 
o
r
g
.
j
g","m
p
o
r
t
 
o
r
g
.
j
g
r",1
AUTH::init,"

i
m
p
o
r
t
 ","m
p
o
r
t
 
o
r
g
.",1
AUTH::needsAuthentication,"p
s
.
a
u
t
h
.
A
u
t
h
T","s
.
a
u
t
h
.
A
u
t
h
T
o
k",1
AUTH::unregister,t,o,1
AUTH::handleAuthHeader,"p
o
r
t
 
o
r
g
.
j
g
r
o","r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::sendMergeRejectionMessage,"o
r
g
.
j
g
r
o","r
g
.
j
g
r
o
u",1
AUTH::up,"e
r
t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o","t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::setAuthCoord,".
j
g","g
r
o",1
AUTH::getGMSHeader,"o
n
f","n
f
i",1
AUTH::up,"e
r
t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o","t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::register,a,i,1
AUTH::sendJoinRejectionMessage,"n
;


i
m
p
o
r
t","e
n
;


i
m
p
o
r
t
 ",1
AUTH::sendRejectionMessage,"s
.
a
u
t
h
.
X
5
0
9
T
o
k","a
u
t
h
.
X
5
0
9
T
o",1
DISCARD::DiscardDialog::actionPerformed,"e
v
e
n
t
.
A
c
t
i
o
n
L
i
s","e
v
e
n
t
.
A
c
t
i
o
n
L
i
s
t",1
GMS::up,"r
o
t
o
c
o
l
.
 
H
a
n
d
l
e
s
 
j
o
i
n
s
/
l
e
a
v
e
s
/
c
r
a
s
h
e
s
 
(
s
u
s
p
i
c
i
o
n
s
)
 
a
n
d


 
*
 
e
m
i
t
s
 
n
e
w
 
v
i
e
w
s
 
a
c
c
o
r
d
i
n
g
l
y
.
 
U
s
e
 
V
I
E
W
_
E
N
F
O
R
C
E
R
 
o
n
 
t
o
p
 
o
f
 
t
h
i
s
 
l
a
y
e
r
 
t
o
 
m
a
k
e


 
*
 
s
u
r
e
 
n
e
w
 
m
e
m
b
e
r
s
 
d
o
n
'
t
 
r
e
c
e
i
v
e
 
a
n
y
 
m
e
s
s
a
g
e
s
 
u","t
o
c
o
l
.
 
H
a
n
d
l
e
s
 
j
o
i
n
s
/
l
e
a
v
e
s
/
c
r
a
s
h
e
s
 
(
s
u
s
p
i
c
i
o
n
s
)
 
a
n
d


 
*
 
e
m
i
t
s
 
n
e
w
 
v
i
e
w
s
 
a
c
c
o
r
d
i
n
g
l
y
.
 
U
s
e
 
V
I
E
W
_
E
N
F
O
R
C
E
R
 
o
n
 
t
o
p
 
o
f
 
t
h
i
s
 
l
a
y
e
r
 
t
o
 
m
a
k
e


 
*
 
s
u
r
e
 
n
e
w
 
m
e
m
b
e
r
s
 
d
o
n
'
t
 
r
e
c
e
i
v
e
 
a
n
y
 
m
e
s
s
a
g
e
s
 
u
n
t",1
GMS::GmsHeader::setMergeRejected,b,i,1
GMS::down,"t
h
e
y
 
a
r
e
 
m
e
m
b
e
r
s


 
*


 
*
 
@
a
u
t
h
o
r
 
B
e
l
a
 
B
a
n


 
*
/


@
M
B
e
a
n
(
d
e
s
c
r
i
p
t
i
o
n
=
""
G
r
o
u
p","e
y
 
a
r
e
 
m
e
m
b
e
r
s


 
*


 
*
 
@
a
u
t
h
o
r
 
B
e
l
a
 
B
a
n


 
*
/


@
M
B
e
a
n
(
d
e
s
c
r
i
p
t
i
o
n
=
""
G
r
o
u
p
 
m",1
GMS::sendJoinResponses,"t
 
j
a
v
a
.
i
o
.
D
a
t
a
O
u
t
p","t
 
j
a
v
a
.
i
o
.
D
a
t
a
O
u
t
p
u
t",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::insertProtocolInStack,"l
a
y
e
r
e
d
 
a
b
o
v
e
 
e
a
c
h
 
o","o
l
s
 
l
a
y
e
r
e
d
 
a
b
o
v
e
 
e
a",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::dumpStats,"j
g
r
o
u
p
s
.
c
o
n
f
.",".
j
g
r
o
u
p
s
.
c
o
n
f",1
ProtocolStack::insertProtocol,"e
r
 
o
f
 
p
r
o
t
o
c
o
l","b
e
r
 
o
f
 
p
r
o
t",1
ProtocolStack::insertProtocolInStack,"l
a
y
e
r
e
d
 
a
b
o
v
e
 
e
a
c
h
 
o","o
l
s
 
l
a
y
e
r
e
d
 
a
b
o
v
e
 
e
a",1
ProtocolStack::ProbeHandler,"s
.
E
v
e
n
t
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
G
l
o
b
a
l
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
J
C
h
a
n
n
e
l
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
a
n
n
o
t
a
t
i
o
n
s
.
P
r
o
p
e
r
t
y
;


i
m
p
o
r
t
 
o
r
g","p
s
.
E
v
e
n
t
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
G
l
o
b
a
l
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
J
C
h
a
n
n
e
l
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p
s
.
a
n
n
o
t
a
t
i
o
n
s
.
P
r
o
p
e
r
t
y
;


i
m
p
o
r
t
 
o
r",1
AsciiString::hashCode,"[
]
 
a
r
r","[
]
 
a
r
r
a",1
MyReceiver::receive,"s
.
u
t
i
l
;",".
u
t
i
l
;

",1
Util::writeByteBuffer,"t
e
 "," 
f
i",1
Util::size,"



/
*
*


 
*
 
C
o
l
l
e
c
t
i","l
e
c
t
i
o
n
 
o
f
 
v
a
r
i
o
u",1
Event::getArg,"t
a
c",s,1
AUTH::down,"

i
m
p
o
r
t
 
o
r
g
.
j
g","m
p
o
r
t
 
o
r
g
.
j
g
r",1
AUTH::init,"

i
m
p
o
r
t
 ","m
p
o
r
t
 
o
r
g
.",1
AUTH::needsAuthentication,"p
s
.
a
u
t
h
.
A
u
t
h
T","s
.
a
u
t
h
.
A
u
t
h
T
o
k",1
AUTH::unregister,t,o,1
AUTH::handleAuthHeader,"p
o
r
t
 
o
r
g
.
j
g
r
o","r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::callUpHandlers,"p
s
.
c
o
n
f
.",".
c
o
n
f
.
C
l",1
AUTH::sendMergeRejectionMessage,"o
r
g
.
j
g
r
o","r
g
.
j
g
r
o
u
p",1
AUTH::up,"e
r
t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o","t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::setAuthCoord,".
j
g","g
r
o",1
AUTH::getGMSHeader,"o
n
f","f
i
g",1
AUTH::up,"e
r
t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o","t
y
;


i
m
p
o
r
t
 
o
r
g
.
j
g
r
o
u
p",1
AUTH::register,a,i,1
AUTH::sendJoinRejectionMessage,"n
;


i
m
p
o
r
t","e
n
;


i
m
p
o
r
t
 ",1
AUTH::sendRejectionMessage,"s
.
a
u
t
h
.
X
5
0
9
T
o
k","a
u
t
h
.
X
5
0
9
T
o",1
MyReceiver::receive,"s
.
u
t
i
l
;",".
u
t
i
l
;

",1
Util::size,"a
.
n
e
t
.
*
;


i
m
p
o
r
t
 
j","o
r
t
 
j
a
v
a
.
n
i
o
.
B
y
t
e",1
I18nInterceptor::getLocaleFromParam,"a
y
 
o
b
t
a
i
n
 
a
 ","y
 
o
b
t
a
i
n
 
a
 
c
o
p
y
 ",1
listen,"e
 
L
i
c
e
n
s
e
.


#

","c
e
n
s
e
.


#


i
m
p
o
r
t
 
l",1
connect,"S
""
 
B
A
S
I
S
,
 
W
I
T
H
O
U
T
 
W
A
R
R
A
N
T
I
E
S
 
O
R
 
C
O
N
D
I
T
I
O
N
S
 
O
F
 
A
N
Y


#
 
K
I
N
D
,
 
e
i
t
h"," 
B
A
S
I
S
,
 
W
I
T
H
O
U
T
 
W
A
R
R
A
N
T
I
E
S
 
O
R
 
C
O
N
D
I
T
I
O
N
S
 
O
F
 
A
N
Y


#
 
K
I
N
D
,
 
e
i
t
h
e
r
 
e",1
_connect,"#


#
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p","#


#
 
U
n
l
e
s
s
 
r
e
q
u
i
r
e
d
 
b
y
 
a
p
p
l
i",1
SerializerMessageConverter::createMessage,"e
""
)
;
 
y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i"," 
L
i
c
e
n
s
e
.


 
*
 
Y
o
u
 
m
a
y
 
o
b
t
a
i
n
 
a
 
c
o",1
SerializerMessageConverter::fromMessage," 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e
 
""
L","n
s
e
""
)
;


 
*
 
y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i
l
e
 
e
x",1
SerializerMessageConverter::setDeserializer,"e
 
A","e
r
s
i
o
n
 
2
.
0
 
(
t
h
e
 ",1
SimpleMessageConverter::createMessage,";


 
*
 
y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i
l
e
 ","y
o
u
 
m
a
y
 
n
o
t
 
u
s
e
 
t
h
i
s
 
f
i
l
e
 
e
x
c
e
p
t",1
SimpleMessageConverter::fromMessage,"a
c
h
e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e
 
""
L
i
c
e","e
 
L
i
c
e
n
s
e
,
 
V
e
r
s
i
o
n
 
2
.
0
 
(
t
h
e
 
""
L
i
c
e
n
s
e
""
)",1
SimpleMessageConverter::createObjectInputStream,"c
o
m","a
n
c
e
 
w
i
t
h
 
t
h",1
XXDataHistDao::findObjByEventTimeClassTypeAndId,"S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c
o
n","(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 ",1
XXDataHistDao::findObjByEventTimeClassTypeAndId,"S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c
o
n","(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 ",1
CertificatePinner::Builder::Builder,"a
p","p
a",1
CertificatePinner::check," 
c
o
m
p
l
i
a
n
c
e
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.

","c
o
m
p
l
i
a
n
c
e
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.


 ",1
CertificatePinner::CertificatePinner,"i
l
e
 ","l
e
 
e",1
OkHttpClient::Builder::Builder,"u
t
e
d
 
u
n
d
e
r
 
t
h
e
 
L
i
c
e
n","b
u
t
e
d
 
u
n
d
e
r
 
t
h
e
 
L
i
c
e",1
OkHttpClient::Builder::sslSocketFactory,"c
 
l
a
n
g","i
c
 
l
a
n",1
EasAutoDiscover::makeRequest,"a
i
l
c
o
m
m
o
n
.
p","m
o
n
.
p
r
o
v",1
EasAutoDiscover::handleResponse,"r
.
A
c
c
o
u
n
t
;


i
m
p
o
r
t
 
c
o
m
.
a
n
d
r
o
i
d
.
e
m
a
i
l
c
o
m
m
o
n
.
p","c
c
o
u
n
t
;


i
m
p
o
r
t
 
c
o
m
.
a
n
d
r
o
i
d
.
e
m
a
i
l
c
o
m
m
o
n
.
p
r
o
v",1
EasAutoDiscover::genUri,"t
 
a
n
d
r
o
i
d
.
o
s
.
B
u
n
d
l","a
n
d
r
o
i
d
.
o
s
.
B
u
n
d
l",1
EasAutoDiscover::parseAutodiscover,"r
o
i
d
.
e
x
c
h
a
n
g
e
.
C
o
m
m
a
n
d
S
t
a
t
u
s
E
x
c
e
p
t
i
o
n
;","d
.
e
x
c
h
a
n
g
e
.
C
o
m
m
a
n
d
S
t
a
t
u
s
E
x
c
e
p
t
i
o
n
;


i
m
p
o
r",1
ContentService::getCurrentSyncsAsUser,"o
n
t
e
n
t
.
C
o
m
p
o
n","o
n
t
e
n
t
.
C
o
m
p
o
n
e
n
t
N",1
SyncStorageEngine::getCurrentSyncsCopy,"d
.
o
s
.
U
s
e
r
H",".
o
s
.
U
s
e
r
H
a
n
d
l
e
;


i",1
SyncStorageEngine::getCurrentSyncsCopy,"d
.
o
s
.
U
s
e
r
H",".
o
s
.
U
s
e
r
H
a
n
d
l
e
;


i",1
XSLTResult::getTemplates,"t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t
h
e
 
L
i
c
e
n
s
e
 
a
t

","t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t
h
e
 
L
i
c
e
n
s",1
XSLTResult::getTemplates,"t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t
h
e
 
L
i
c
e
n
s
e
 
a
t

","t
a
i
n
 
a
 
c
o
p
y
 
o
f
 
t
h
e
 
L
i
c
e
n
s",1
ChangePasswordIT::displaysErrorWhenPasswordContravenesPolicy," 
 
 
C
o
p
y
r
i
g
h
t"," 
 
C
o
p
y
r
i
g
h
t
 ",1
ChangePasswordIT::signIn,"P
i
v
o
t
a
l
 ","i
v
o
t
a",1
UaaResetPasswordService::forgotPassword,"1
6
]
 
P
i
v
o
t
a
l
 
S
o
f
t
w
a","6
]
 
P
i
v
o
t
a
l
 
S
o
f
t
w
a
r
e
,",1
UaaResetPasswordService::changePasswordCodeAuthenticated,"*
*
*
*
*


 
*
 
 
 
 
 
C
l
o
u
d
 
F
o
u
n
d
r
y


 
*
 
 
 
 
 
C
o
p
y
r
i
g
h
t
 
(
c
)
 
[
2
0
0","*
*
*
*
*


 
*
 
 
 
 
 
C
l
o
u
d
 
F
o
u
n
d
r
y


 
*
 
 
 
 
 
C
o
p
y
r
i
g
h
t
 
(
c
)
 
[
2
0
0
9
-",1
Dom4JDriver::createReader,"1
4
 
X
S
t
r
e
a","4
,
 
2
0
1
5
 ",1
Dom4JDriver::createReader,"1
4
 
X
S
t
r
e
a","4
,
 
2
0
1
5
 ",1
Dom4JDriver::createReader,"1
4
 
X
S
t
r
e
a","4
,
 
2
0
1
5
 ",1
Dom4JDriver::createReader,"1
4
 
X
S
t
r
e
a","4
,
 
2
0
1
5
 ",1
Dom4JDriver::createReader,"1
4
 
X
S
t
r
e
a","4
,
 
2
0
1
5
 ",1
SjsxpDriver::createInputFactory," 
A
l
l
 
r
i
g
h
t
s
 
r","r
s
.


 
*
 
A
l
l
 
r
i
g
h",1
StandardStaxDriver::createInputFactory,".


 
*


 
*
 
T
h
e
 
s
o
f
t
w
a","s
e
r
v
e
d
.


 
*


 
*
 
T
h
e
 
s
o",1
StaxDriver::createInputFactory,"i
c
h"," 
o
f
 
w",1
WstxDriver::createInputFactory,"h
t
s","l
l
 
r
i",1
Dom4JDriver::createReader,"X
S
t
r
e
a
m
 
C","2
0
1
4
,
 
2
0",1
Dom4JDriver::createReader,"X
S
t
r
e
a
m
 
C","2
0
1
4
,
 
2
0",1
Dom4JDriver::createReader,"X
S
t
r
e
a
m
 
C","2
0
1
4
,
 
2
0",1
Dom4JDriver::createReader,"X
S
t
r
e
a
m
 
C","2
0
1
4
,
 
2
0",1
Dom4JDriver::createReader,"X
S
t
r
e
a
m
 
C","2
0
1
4
,
 
2
0",1
DomDriver::createDocumentBuilderFactory," 
r
e
s
e
r
v
e
d
.


 
*


 
*
 
T"," 
r
e
s
e
r
v
e
d
.


 
*


 
*
 
T
h
e
 
s
o",1
SjsxpDriver::createInputFactory," 
*
 
A
l
l
 
r
i
g
h
t
s","C
o
m
m
i
t
t
e
r
s
.


 
*
 ",1
StandardStaxDriver::createInputFactory," 
*
 
T
h
e
 
s
o
f
t
w
a
r
e
 
i
n","e
s
e
r
v
e
d
.


 
*


 
*
 
T
h
e
 
s",1
StaxDriver::createInputFactory,"f
 
w","n
s
e
 
a",1
WstxDriver::createInputFactory,"s
 
r"," 
*
 
A
l",1
OgnlUtil::setValue,"s
/
L
I
C
E
N
S
